game,subject_mark,winner,subject_result,reason,attempts,moves,subject_decisions,subject_legal,subject_illegal,subject_optimal_legal,opponent_decisions,opponent_legal,opponent_illegal,opponent_optimal_legal
1,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
2,O,X,L,normal,9,9,4,4,0,2,5,5,0,3
3,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
4,O,DRAW,D,normal,9,9,4,4,0,2,5,5,0,3
5,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
6,O,DRAW,D,normal,9,9,4,4,0,3,5,5,0,4
7,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
8,O,DRAW,D,normal,11,9,6,4,2,3,5,5,0,4
9,X,O,L,normal,8,8,4,4,0,3,4,4,0,3
10,O,O,W,normal,8,8,4,4,0,3,4,4,0,2
11,X,DRAW,D,normal,9,9,5,5,0,4,4,4,0,3
12,O,X,L,normal,5,5,2,2,0,1,3,3,0,3
13,X,O,L,normal,6,6,3,3,0,2,3,3,0,2
14,O,X,L,normal,9,9,4,4,0,1,5,5,0,3
15,X,X,W,normal,7,7,4,4,0,2,3,3,0,0
16,O,O,W,normal,8,8,4,4,0,3,4,4,0,3
17,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
18,O,X,L,normal,9,9,4,4,0,3,5,5,0,4
19,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
20,O,X,L,normal,7,7,3,3,0,2,4,4,0,3
21,X,X,W,normal,9,9,5,5,0,4,4,4,0,2
22,O,DRAW,D,normal,10,9,5,4,1,3,5,5,0,4
23,X,X,W,normal,9,9,5,5,0,3,4,4,0,1
24,O,X,L,normal,9,9,4,4,0,1,5,5,0,3
25,X,O,L,normal,8,8,4,4,0,3,4,4,0,3
26,O,O,W,normal,8,8,4,4,0,4,4,4,0,3
27,X,O,L,normal,8,8,4,4,0,3,4,4,0,4
28,O,X,L,normal,9,9,4,4,0,2,5,5,0,4
29,X,X,W,normal,7,7,4,4,0,3,3,3,0,1
30,O,O,W,normal,8,8,4,4,0,3,4,4,0,3
31,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
32,O,O,W,normal,8,8,4,4,0,3,4,4,0,3
33,X,X,W,normal,9,9,5,5,0,3,4,4,0,1
34,O,DRAW,D,normal,9,9,4,4,0,3,5,5,0,4
35,X,X,W,normal,9,9,5,5,0,4,4,4,0,2
36,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
37,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
38,O,X,L,normal,5,5,2,2,0,1,3,3,0,3
39,X,O,L,normal,6,6,3,3,0,1,3,3,0,2
40,O,O,W,normal,8,8,4,4,0,3,4,4,0,2
41,X,DRAW,D,normal,9,9,5,5,0,4,4,4,0,3
42,O,X,L,normal,7,7,3,3,0,2,4,4,0,4
43,X,DRAW,D,normal,9,9,5,5,0,3,4,4,0,2
44,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
45,X,X,W,normal,7,7,4,4,0,3,3,3,0,1
46,O,X,L,normal,7,7,3,3,0,1,4,4,0,3
47,X,DRAW,D,normal,9,9,5,5,0,5,4,4,0,4
48,O,DRAW,D,normal,9,9,4,4,0,3,5,5,0,4
49,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
50,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
51,X,DRAW,D,normal,9,9,5,5,0,4,4,4,0,3
52,O,X,L,normal,9,9,4,4,0,2,5,5,0,4
53,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
54,O,X,L,normal,9,9,4,4,0,3,5,5,0,4
55,X,O,L,normal,8,8,4,4,0,3,4,4,0,3
56,O,X,L,normal,9,9,4,4,0,1,5,5,0,3
57,X,DRAW,D,normal,9,9,5,5,0,3,4,4,0,2
58,O,O,W,normal,8,8,4,4,0,4,4,4,0,3
59,X,X,W,normal,9,9,5,5,0,3,4,4,0,1
60,O,O,W,normal,8,8,4,4,0,2,4,4,0,2
61,X,O,L,normal,8,8,4,4,0,2,4,4,0,2
62,O,X,L,normal,7,7,3,3,0,2,4,4,0,4
63,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
64,O,DRAW,D,normal,9,9,4,4,0,2,5,5,0,3
65,X,X,W,normal,9,9,5,5,0,3,4,4,0,1
66,O,O,W,normal,8,8,4,4,0,2,4,4,0,2
67,X,DRAW,D,normal,9,9,5,5,0,4,4,4,0,3
68,O,X,L,normal,9,9,4,4,0,2,5,5,0,4
69,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
70,O,X,L,normal,5,5,2,2,0,1,3,3,0,3
71,X,X,W,normal,9,9,5,5,0,4,4,4,0,2
72,O,X,L,normal,9,9,4,4,0,2,5,5,0,4
73,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
74,O,O,W,normal,8,8,4,4,0,4,4,4,0,3
75,X,X,W,normal,7,7,4,4,0,3,3,3,0,1
76,O,X,L,normal,9,9,4,4,0,2,5,5,0,4
77,X,O,L,normal,6,6,3,3,0,1,3,3,0,2
78,O,X,L,normal,9,9,4,4,0,3,5,5,0,5
79,X,X,W,normal,9,9,5,5,0,4,4,4,0,2
80,O,O,W,normal,8,8,4,4,0,3,4,4,0,2
81,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
82,O,X,L,normal,9,9,4,4,0,1,5,5,0,3
83,X,O,L,normal,8,8,4,4,0,3,4,4,0,3
84,O,O,W,normal,8,8,4,4,0,3,4,4,0,2
85,X,DRAW,D,normal,9,9,5,5,0,4,4,4,0,3
86,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
87,X,O,L,normal,8,8,4,4,0,1,4,4,0,2
88,O,X,L,normal,9,9,4,4,0,2,5,5,0,4
89,X,O,L,normal,8,8,4,4,0,2,4,4,0,3
90,O,O,W,normal,8,8,4,4,0,4,4,4,0,3
91,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
92,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
93,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
94,O,DRAW,D,normal,9,9,4,4,0,2,5,5,0,3
95,X,X,W,normal,9,9,5,5,0,2,4,4,0,1
96,O,O,W,normal,8,8,4,4,0,2,4,4,0,2
97,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
98,O,DRAW,D,normal,9,9,4,4,0,2,5,5,0,3
99,X,DRAW,D,normal,9,9,5,5,0,4,4,4,0,3
100,O,O,W,normal,6,6,3,3,0,2,3,3,0,2
101,X,O,L,normal,8,8,4,4,0,2,4,4,0,2
102,O,X,L,normal,9,9,4,4,0,3,5,5,0,5
103,X,O,L,normal,8,8,4,4,0,2,4,4,0,2
104,O,X,L,normal,7,7,3,3,0,2,4,4,0,4
105,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
106,O,X,L,normal,7,7,3,3,0,2,4,4,0,4
107,X,DRAW,D,normal,9,9,5,5,0,5,4,4,0,4
108,O,X,L,normal,7,7,3,3,0,1,4,4,0,3
109,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
110,O,X,L,normal,9,9,4,4,0,3,5,5,0,4
111,X,X,W,normal,9,9,5,5,0,4,4,4,0,2
112,O,X,L,normal,7,5,4,2,2,1,3,3,0,3
113,X,X,W,normal,7,7,4,4,0,3,3,3,0,2
114,O,O,W,normal,8,8,4,4,0,4,4,4,0,3
115,X,X,W,normal,9,9,5,5,0,2,4,4,0,0
116,O,X,L,normal,9,9,4,4,0,1,5,5,0,3
117,X,DRAW,D,normal,9,9,5,5,0,4,4,4,0,3
118,O,DRAW,D,normal,9,9,4,4,0,2,5,5,0,3
119,X,O,L,normal,8,8,4,4,0,2,4,4,0,2
120,O,O,W,normal,8,8,4,4,0,3,4,4,0,3
121,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
122,O,O,W,normal,8,8,4,4,0,3,4,4,0,3
123,X,DRAW,D,normal,9,9,5,5,0,3,4,4,0,2
124,O,DRAW,D,normal,9,9,4,4,0,3,5,5,0,4
125,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
126,O,DRAW,D,normal,9,9,4,4,0,2,5,5,0,3
127,X,X,W,normal,7,7,4,4,0,3,3,3,0,1
128,O,O,W,normal,8,8,4,4,0,3,4,4,0,3
129,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
130,O,X,L,normal,10,9,5,4,1,2,5,5,0,3
131,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
132,O,O,W,normal,10,8,6,4,2,3,4,4,0,3
133,X,DRAW,D,normal,9,9,5,5,0,4,4,4,0,2
134,O,X,L,normal,9,9,4,4,0,3,5,5,0,4
135,X,X,W,normal,9,9,5,5,0,3,4,4,0,2
136,O,X,L,normal,9,9,4,4,0,2,5,5,0,4
137,X,X,W,normal,7,7,4,4,0,3,3,3,0,1
138,O,O,W,normal,8,8,4,4,0,3,4,4,0,3
139,X,DRAW,D,normal,9,9,5,5,0,3,4,4,0,2
140,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
141,X,X,W,normal,7,7,4,4,0,3,3,3,0,1
142,O,X,L,normal,9,9,4,4,0,3,5,5,0,5
143,X,X,W,normal,9,9,5,5,0,4,4,4,0,2
144,O,X,L,normal,5,5,2,2,0,1,3,3,0,3
145,X,X,W,normal,9,9,5,5,0,4,4,4,0,2
146,O,X,L,normal,9,9,4,4,0,2,5,5,0,3
147,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
148,O,O,W,normal,8,8,4,4,0,3,4,4,0,3
149,X,X,W,normal,9,9,5,5,0,4,4,4,0,2
150,O,X,L,normal,9,9,4,4,0,3,5,5,0,5
151,X,X,W,normal,9,9,5,5,0,4,4,4,0,2
152,O,X,L,normal,5,5,2,2,0,1,3,3,0,3
153,X,DRAW,D,normal,9,9,5,5,0,4,4,4,0,3
154,O,X,L,normal,7,7,3,3,0,2,4,4,0,3
155,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
156,O,DRAW,D,normal,9,9,4,4,0,3,5,5,0,4
157,X,X,W,normal,9,9,5,5,0,4,4,4,0,2
158,O,X,L,normal,9,9,4,4,0,2,5,5,0,3
159,X,X,W,normal,9,9,5,5,0,4,4,4,0,2
160,O,X,L,normal,9,9,4,4,0,2,5,5,0,4
161,X,O,L,normal,8,8,4,4,0,3,4,4,0,3
162,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
163,X,DRAW,D,normal,9,9,5,5,0,2,4,4,0,2
164,O,DRAW,D,normal,9,9,4,4,0,3,5,5,0,4
165,X,X,W,normal,9,9,5,5,0,3,4,4,0,1
166,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
167,X,X,W,normal,7,7,4,4,0,3,3,3,0,1
168,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
169,X,O,L,normal,8,8,4,4,0,2,4,4,0,2
170,O,X,L,normal,10,9,5,4,1,2,5,5,0,4
171,X,O,L,normal,6,6,3,3,0,2,3,3,0,3
