game,subject_mark,winner,subject_result,reason,attempts,moves,subject_decisions,subject_legal,subject_illegal,subject_optimal_legal,opponent_decisions,opponent_legal,opponent_illegal,opponent_optimal_legal
1,X,X,W,illegal_forfeit:O,2,1,1,1,0,1,1,0,1,0
2,O,O,W,illegal_forfeit:X,7,6,3,3,0,1,4,3,1,2
3,X,X,W,illegal_forfeit:O,2,1,1,1,0,1,1,0,1,0
4,O,X,L,illegal_forfeit:O,2,1,1,0,1,0,1,1,0,1
5,X,X,W,illegal_forfeit:O,2,1,1,1,0,1,1,0,1,0
6,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
7,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
8,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
9,X,X,W,illegal_forfeit:O,6,5,3,3,0,2,3,2,1,1
10,O,O,W,illegal_forfeit:X,5,4,2,2,0,2,3,2,1,2
11,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,0
12,O,O,W,illegal_forfeit:X,5,4,2,2,0,1,3,2,1,2
13,X,X,W,illegal_forfeit:O,6,5,3,3,0,3,3,2,1,1
14,O,O,W,illegal_forfeit:X,5,4,2,2,0,2,3,2,1,2
15,X,X,W,illegal_forfeit:O,6,5,3,3,0,2,3,2,1,1
16,O,O,W,illegal_forfeit:X,5,4,2,2,0,2,3,2,1,2
17,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,1
18,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
19,X,X,W,illegal_forfeit:O,6,5,3,3,0,3,3,2,1,1
20,O,X,L,illegal_forfeit:O,2,1,1,0,1,0,1,1,0,1
21,X,X,W,illegal_forfeit:O,8,7,4,4,0,2,4,3,1,1
22,O,O,W,illegal_forfeit:X,7,6,3,3,0,2,4,3,1,3
23,X,X,W,illegal_forfeit:O,8,7,4,4,0,3,4,3,1,2
24,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
25,X,X,W,illegal_forfeit:O,6,5,3,3,0,3,3,2,1,1
